window_size,model_name,RMSE,MAE,MAPE,r2_score
30,SES,590.3,379.96,0.02,0.98
60,SES,587.01,377.68,0.02,0.98
90,SES,585.81,377.9,0.02,0.98
120,SES,586.13,378.03,0.02,0.98
356,SES,585.77,377.9,0.02,0.98
712,SES,586.41,377.3,0.02,0.98
1068,SES,586.47,377.31,0.02,0.98
1424,SES,586.51,377.32,0.02,0.98
30,Holt,594.48,382.87,0.02,0.98
60,Holt,594.09,388.95,0.02,0.98
90,Holt,600.29,400.08,0.02,0.98
120,Holt,588.12,385.02,0.02,0.98
356,Holt,588.59,385.65,0.02,0.98
712,Holt,586.87,376.86,0.02,0.98
1068,Holt,585.79,378.12,0.02,0.98
1424,Holt,607.98,384.13,0.02,0.98
30,Holt_damped,591.28,381.91,0.02,0.98
60,Holt_damped,590.16,385.0,0.02,0.98
90,Holt_damped,595.32,395.12,0.02,0.98
120,Holt_damped,585.15,377.65,0.02,0.98
356,Holt_damped,587.36,383.74,0.02,0.98
712,Holt_damped,586.87,377.65,0.02,0.98
1068,Holt_damped,586.21,377.14,0.02,0.98
1424,Holt_damped,585.88,377.28,0.02,0.98
